,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,600202.SH,20231222,6.18,6.19,5.95,6.03,6.2,-0.17,-2.7419,138831.0,84060.038
1,600202.SH,20231221,6.05,6.22,5.87,6.2,6.06,0.14,2.3102,187002.0,113551.307
2,600202.SH,20231220,6.2,6.28,6.05,6.06,6.2,-0.14,-2.2581,126359.0,77579.045
3,600202.SH,20231219,6.23,6.25,6.08,6.2,6.27,-0.07,-1.1164,160376.31,98623.652
4,600202.SH,20231218,6.48,6.48,6.23,6.27,6.48,-0.21,-3.2407,198452.0,125675.225
5,600202.SH,20231215,6.32,6.49,6.2,6.48,6.32,0.16,2.5316,291364.39,185941.303
6,600202.SH,20231214,6.29,6.4,6.27,6.32,6.31,0.01,0.1585,140556.0,88989.623
7,600202.SH,20231213,6.27,6.38,6.25,6.31,6.3,0.01,0.1587,151031.12,95373.597
8,600202.SH,20231212,6.19,6.3,6.15,6.3,6.19,0.11,1.7771,137029.12,85276.903
9,600202.SH,20231211,6.15,6.22,6.1,6.19,6.12,0.07,1.1438,143369.12,88232.996
10,600202.SH,20231208,6.3,6.31,6.11,6.12,6.33,-0.21,-3.3175,215661.83,133337.442
11,600202.SH,20231207,6.46,6.48,6.28,6.33,6.42,-0.09,-1.4019,199630.57,126531.823
12,600202.SH,20231206,6.39,6.59,6.31,6.42,6.43,-0.01,-0.1555,368621.37,238253.403
13,600202.SH,20231205,6.3,6.5,6.23,6.43,6.34,0.09,1.4196,495273.59,316749.294
14,600202.SH,20231204,6.07,6.67,6.05,6.34,6.06,0.28,4.6205,440125.45,279738.839
15,600202.SH,20231201,6.01,6.07,6.0,6.06,6.03,0.03,0.4975,80008.0,48390.978
16,600202.SH,20231130,6.09,6.12,5.97,6.03,6.11,-0.08,-1.3093,139909.0,84243.957
17,600202.SH,20231129,6.15,6.22,6.09,6.11,6.17,-0.06,-0.9724,116877.87,71828.748
18,600202.SH,20231128,6.08,6.24,6.02,6.17,6.1,0.07,1.1475,179857.69,110574.263
19,600202.SH,20231127,6.02,6.1,5.98,6.1,6.02,0.08,1.3289,127908.54,77451.419
20,600202.SH,20231124,6.0,6.09,5.99,6.02,6.01,0.01,0.1664,111446.57,67224.598
21,600202.SH,20231123,6.01,6.04,5.96,6.01,6.0,0.01,0.1667,92319.58,55433.861
22,600202.SH,20231122,6.0,6.04,5.95,6.0,6.01,-0.01,-0.1664,145472.01,87235.683
23,600202.SH,20231121,5.98,6.08,5.93,6.01,5.96,0.05,0.8389,196497.1,117906.806
24,600202.SH,20231120,5.91,5.96,5.88,5.96,5.89,0.07,1.1885,104217.0,61815.764
25,600202.SH,20231117,5.89,5.91,5.82,5.89,5.87,0.02,0.3407,62730.0,36892.664
26,600202.SH,20231116,5.89,5.91,5.86,5.87,5.89,-0.02,-0.3396,58992.57,34722.979
27,600202.SH,20231115,5.88,5.92,5.85,5.89,5.88,0.01,0.1701,73731.0,43388.002
28,600202.SH,20231114,5.85,5.88,5.83,5.88,5.87,0.01,0.1704,71172.0,41657.048
29,600202.SH,20231113,5.83,5.88,5.8,5.87,5.81,0.06,1.0327,70876.0,41431.106
30,600202.SH,20231110,5.82,5.83,5.76,5.81,5.83,-0.02,-0.3431,69475.01,40294.941
31,600202.SH,20231109,5.82,5.91,5.79,5.83,5.82,0.01,0.1718,108941.0,63510.993
32,600202.SH,20231108,5.8,5.84,5.77,5.82,5.82,0.0,0.0,106937.57,62131.997
33,600202.SH,20231107,5.75,5.84,5.7,5.82,5.76,0.06,1.0417,147393.0,85401.279
34,600202.SH,20231106,5.72,5.76,5.68,5.76,5.65,0.11,1.9469,146297.01,83743.297
35,600202.SH,20231103,5.65,5.74,5.63,5.65,5.62,0.03,0.5338,98366.8,55939.965
36,600202.SH,20231102,5.65,5.66,5.6,5.62,5.66,-0.04,-0.7067,68009.0,38307.206
37,600202.SH,20231101,5.61,5.69,5.58,5.66,5.62,0.04,0.7117,87776.81,49534.544
38,600202.SH,20231031,5.67,5.7,5.58,5.62,5.7,-0.08,-1.4035,122264.0,68892.468
39,600202.SH,20231030,5.68,5.75,5.66,5.7,5.65,0.05,0.885,138503.0,79154.714
40,600202.SH,20231027,5.6,5.68,5.54,5.65,5.65,0.0,0.0,164708.0,92460.7
41,600202.SH,20231026,5.55,5.66,5.48,5.65,5.55,0.1,1.8018,149576.01,83529.69
42,600202.SH,20231025,5.44,5.63,5.43,5.55,5.42,0.13,2.3985,151425.0,84197.723
43,600202.SH,20231024,5.25,5.44,5.25,5.42,5.28,0.14,2.6515,122952.0,66244.022
44,600202.SH,20231023,5.48,5.48,5.25,5.28,5.46,-0.18,-3.2967,120672.01,64419.926
45,600202.SH,20231020,5.43,5.52,5.43,5.46,5.46,0.0,0.0,98150.12,53679.761
46,600202.SH,20231019,5.44,5.56,5.42,5.46,5.49,-0.03,-0.5464,120600.0,66279.686
47,600202.SH,20231018,5.6,5.62,5.48,5.49,5.63,-0.14,-2.4867,147971.01,81802.548
48,600202.SH,20231017,5.74,5.77,5.58,5.63,5.77,-0.14,-2.4263,193627.64,109320.482
49,600202.SH,20231016,5.7,5.82,5.66,5.77,5.7,0.07,1.2281,206513.0,118832.445
50,600202.SH,20231013,5.66,5.72,5.65,5.7,5.71,-0.01,-0.1751,132471.04,75307.18
51,600202.SH,20231012,5.7,5.74,5.65,5.71,5.73,-0.02,-0.349,145293.0,82692.511
52,600202.SH,20231011,5.91,5.92,5.68,5.73,5.89,-0.16,-2.7165,261605.72,150386.276
53,600202.SH,20231010,5.88,6.02,5.84,5.89,5.89,0.0,0.0,191342.8,113053.5
54,600202.SH,20231009,5.93,5.98,5.81,5.89,5.99,-0.1,-1.6694,243621.08,143092.355
55,600202.SH,20230928,5.93,6.04,5.93,5.99,5.89,0.1,1.6978,270418.89,161691.64
56,600202.SH,20230927,6.12,6.16,5.88,5.89,6.13,-0.24,-3.9152,389621.88,233473.941
57,600202.SH,20230926,6.26,6.31,6.06,6.13,6.26,-0.13,-2.0767,366818.37,226314.149
58,600202.SH,20230925,6.08,6.27,6.04,6.26,6.16,0.1,1.6234,454956.17,282153.435
59,600202.SH,20230922,6.28,6.36,6.02,6.16,6.4,-0.24,-3.75,623393.14,383195.692
60,600202.SH,20230921,6.25,6.65,6.25,6.4,6.75,-0.35,-5.1852,909595.14,583446.353
